fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g
167697,"Milk, buttermilk, fluid, cultured, reduced fat",sr_legacy_food,1,2019-04-01,55.6,4.1,2.0,5.3
167698,"Pork sausage rice links, brown and serve, cooked",sr_legacy_food,7,2019-04-01,402.9,13.7,37.63,2.36
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",sr_legacy_food,4,2019-04-01,117.6,1.52,1.01,25.6
167700,"Salad Dressing, mayonnaise-like, fat-free",sr_legacy_food,4,2019-04-01,87.1,0.2,2.7,15.5
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",sr_legacy_food,19,2019-04-01,455.2,3.2,17.5,71.22
167702,"Oil, flaxseed, cold pressed",sr_legacy_food,4,2019-04-01,900.3,0.11,99.98,0.0
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",sr_legacy_food,1,2019-04-01,71.4,12.4,1.0,3.2
167704,"Salad dressing, bacon and tomato",sr_legacy_food,4,2019-04-01,330.2,1.8,35.0,2.0
167705,"Cheese, parmesan, low sodium",sr_legacy_food,1,2019-04-01,451.1,41.6,29.99,3.7
167706,"Jams, preserves, marmalade, reduced sugar",sr_legacy_food,19,2019-04-01,151.3,0.0,0.1,37.6
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",sr_legacy_food,14,2019-04-01,366.4,0.25,0.16,91.0
167708,"Tomato and vegetable juice, low sodium",sr_legacy_food,11,2019-04-01,21.7,0.6,0.1,4.59
167709,"Turkey, wing, smoked, cooked, with skin, bone removed",sr_legacy_food,5,2019-04-01,221.3,27.4,12.41,0.0
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",sr_legacy_food,5,2019-04-01,199.8,27.9,9.8,0.0
167711,"Beverages, Chocolate-flavored drink, whey and milk based",sr_legacy_food,14,2019-04-01,48.9,0.64,0.4,10.68
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",sr_legacy_food,10,2019-04-01,529.9,37.04,41.78,1.43
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",sr_legacy_food,5,2019-04-01,162.2,29.3,5.0,0.0
167714,"Hearts of palm, raw",sr_legacy_food,11,2019-04-01,115.0,2.7,0.2,25.61
