fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
168112,"Salad dressing, mayonnaise and mayonnaise-type, low calorie",sr_legacy_food,4,2019-04-01,263.0,0.9,19.0,23.9,0.0
168113,"Frozen novelties, juice type, orange",sr_legacy_food,19,2019-04-01,95.0,0.5,0.0,23.17,0.1
168114,"Cheese, cottage, lowfat, 1% milkfat, no sodium added",sr_legacy_food,1,2019-04-01,72.0,12.4,1.0,2.7,0.0
168115,"Mayonnaise, low sodium, low calorie or diet",sr_legacy_food,4,2019-04-01,231.0,0.3,19.2,16.0,0.0
168116,"Snacks, tortilla chips, unsalted, white corn",sr_legacy_food,23,2019-04-01,503.0,7.79,23.36,65.32,5.3
168117,"Cranberry juice, unsweetened",sr_legacy_food,9,2019-04-01,46.0,0.39,0.13,12.2,0.1
168118,"Beef, bologna, reduced sodium",sr_legacy_food,7,2019-04-01,310.0,11.7,28.4,2.0,0.0
168119,"Turnip greens, canned, no salt added",sr_legacy_food,11,2019-04-01,19.0,1.36,0.3,2.81,1.3
168120,"Turkey, light or dark meat, smoked, cooked, with skin, bone removed",sr_legacy_food,5,2019-04-01,870.0,28.1,9.7,0.0,0.0
168121,"Cheese, pasteurized process, cheddar or American, low sodium",sr_legacy_food,1,2019-04-01,376.0,22.2,31.19,1.6,0.0
168122,"Beverages, coffee, instant, with whitener, reduced calorie",sr_legacy_food,14,2019-04-01,2132.0,1.96,29.1,59.94,0.5
168123,"Beverages, cranberry-apple juice drink, low calorie, with vitamin C added",sr_legacy_food,14,2019-04-01,19.0,0.1,0.0,4.7,0.1
168124,"Cheese, swiss, low sodium",sr_legacy_food,1,2019-04-01,374.0,28.4,27.4,3.4,0.0
168125,"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",sr_legacy_food,3,2019-04-01,343.0,4.34,1.9,11.53,1.1
168126,"Rolls, pumpernickel",sr_legacy_food,18,2019-04-01,1154.0,10.8,2.8,51.87,5.4
168127,"Snacks, corn-based, extruded, chips, unsalted",sr_legacy_food,23,2019-04-01,557.0,6.6,33.4,57.4,4.4
168128,"Beans, baked, canned, no salt added",sr_legacy_food,16,2019-04-01,438.0,4.8,0.4,20.49,5.5
168129,"Jellyfish, dried, salted",sr_legacy_food,15,2019-04-01,151.0,5.5,1.4,0.0,0.0
168130,"Frozen novelties, ice cream type, chocolate or caramel covered, with nuts",sr_legacy_food,19,2019-04-01,1351.0,4.4,20.2,30.9,0.6
168131,"Frankfurter, low sodium",sr_legacy_food,7,2019-04-01,312.0,12.0,28.51,1.8,0.0
168132,"Frozen novelties, ice type, pop, with low calorie sweetener",sr_legacy_food,19,2019-04-01,99.0,0.0,0.0,5.92,0.0
168133,"Babyfood, dessert, peach yogurt",sr_legacy_food,3,2019-04-01,324.0,0.9,0.18,17.6,0.4
168134,"Babyfood, dessert, blueberry yogurt, strained",sr_legacy_food,3,2019-04-01,320.0,0.5,0.7,17.05,0.4
168135,"Babyfood, dessert, banana yogurt, strained",sr_legacy_food,3,2019-04-01,328.0,1.1,0.52,17.35,0.5
168136,"Ice creams, chocolate, rich",sr_legacy_food,19,2019-04-01,251.0,4.72,16.98,19.78,0.9
168137,"Snacks, tortilla chips, light (baked with less oil)",sr_legacy_food,23,2019-04-01,465.0,8.7,15.2,73.4,5.7
168138,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted",sr_legacy_food,8,2019-04-01,1677.0,7.12,5.46,81.19,4.2
168139,"Popcorn, microwave, low fat and sodium",sr_legacy_food,23,2019-04-01,1797.0,12.6,9.5,73.39,14.2
168140,"Babyfood, fruit supreme dessert",sr_legacy_food,3,2019-04-01,73.0,0.5,0.2,17.18,2.0
168141,"Cheese, swiss, low fat",sr_legacy_food,1,2019-04-01,749.0,28.4,5.1,3.4,0.0
168142,"Sweeteners, tabletop, fructose, liquid",sr_legacy_food,19,2019-04-01,1165.0,0.0,0.0,76.1,0.1
168143,"Puddings, chocolate flavor, low calorie, instant, dry mix",sr_legacy_food,19,2019-04-01,356.0,5.3,2.4,78.2,6.1
168144,"Babyfood, grape juice, no sugar, canned",sr_legacy_food,3,2019-04-01,62.0,0.0,0.0,15.38,0.0
168145,"Jellies, reduced sugar, home preserved",sr_legacy_food,19,2019-04-01,179.0,0.3,0.03,46.1,0.8
168146,"Puddings, all flavors except chocolate, low calorie, instant, dry mix",sr_legacy_food,19,2019-04-01,1464.0,0.81,0.9,84.66,0.8
168147,Vital wheat gluten,sr_legacy_food,20,2019-04-01,1548.0,75.16,1.85,13.79,0.6
168148,"Frog legs, raw",sr_legacy_food,15,2019-04-01,305.0,16.4,0.3,0.0,0.0
168149,"Fish, mackerel, salted",sr_legacy_food,15,2019-04-01,305.0,18.5,25.1,0.0,0.0
168150,"Java-plum, (jambolan), raw",sr_legacy_food,9,2019-04-01,251.0,0.72,0.23,15.56,
168151,"Jujube, raw",sr_legacy_food,9,2019-04-01,331.0,1.2,0.2,20.23,
168152,"Jujube, Chinese, fresh, dried",sr_legacy_food,9,2019-04-01,1176.0,4.72,0.5,72.52,6.0
168153,"Kiwifruit, green, raw",sr_legacy_food,9,2019-04-01,61.0,1.14,0.52,14.66,3.0
168154,"Kumquats, raw",sr_legacy_food,9,2019-04-01,71.0,1.88,0.86,15.9,6.5
168155,"Limes, raw",sr_legacy_food,9,2019-04-01,30.0,0.7,0.2,10.54,2.8
168156,"Lime juice, raw",sr_legacy_food,9,2019-04-01,104.0,0.42,0.07,8.42,0.4
168157,"Lime juice, canned or bottled, unsweetened",sr_legacy_food,9,2019-04-01,21.0,0.25,0.23,6.69,0.4
168158,"Blueberries, dried, sweetened",sr_legacy_food,9,2019-04-01,1328.0,2.5,2.5,80.0,7.5
168159,"Prunes, canned, heavy syrup pack, solids and liquids",sr_legacy_food,9,2019-04-01,439.0,0.87,0.2,27.8,3.8
168160,"Prunes, dehydrated (low-moisture), uncooked",sr_legacy_food,9,2019-04-01,1418.0,3.7,0.73,89.07,
168161,"Prunes, dehydrated (low-moisture), stewed",sr_legacy_food,9,2019-04-01,473.0,1.23,0.24,29.7,
168162,"Plums, dried (prunes), uncooked",sr_legacy_food,9,2019-04-01,240.0,2.18,0.38,63.88,7.1
168163,"Quinces, raw",sr_legacy_food,9,2019-04-01,238.0,0.4,0.1,15.3,1.9
168164,"Raisins, golden, seedless",sr_legacy_food,9,2019-04-01,301.0,3.28,0.2,80.02,3.3
168165,"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,9,2019-04-01,1250.0,3.3,0.25,79.32,4.5
168166,"Raisins, seeded",sr_legacy_food,9,2019-04-01,1238.0,2.52,0.54,78.47,6.8
168167,"Rambutan, canned, syrup pack",sr_legacy_food,9,2019-04-01,343.0,0.65,0.21,20.87,0.9
168168,"Rhubarb, frozen, uncooked",sr_legacy_food,9,2019-04-01,88.0,0.55,0.11,5.1,1.8
168169,"Rhubarb, frozen, cooked, with sugar",sr_legacy_food,9,2019-04-01,485.0,0.39,0.05,31.2,2.0
168170,"Roselle, raw",sr_legacy_food,9,2019-04-01,205.0,0.96,0.64,11.31,
168171,"Rose-apples, raw",sr_legacy_food,9,2019-04-01,105.0,0.6,0.3,5.7,
168172,"Strawberries, canned, heavy syrup pack, solids and liquids",sr_legacy_food,9,2019-04-01,385.0,0.56,0.26,23.53,1.7
168173,"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,9,2019-04-01,146.0,0.43,0.11,9.13,2.1
168174,"Strawberries, frozen, sweetened, sliced",sr_legacy_food,9,2019-04-01,402.0,0.53,0.13,25.92,1.9
168175,"Sugar-apples, (sweetsop), raw",sr_legacy_food,9,2019-04-01,393.0,2.06,0.29,23.64,4.4
168176,"Feijoa, raw",sr_legacy_food,9,2019-04-01,254.0,0.71,0.42,15.21,6.4
168177,"Pears, asian, raw",sr_legacy_food,9,2019-04-01,176.0,0.5,0.23,10.65,3.6
168178,"Fruit cocktail, canned, heavy syrup, drained",sr_legacy_food,9,2019-04-01,293.0,0.47,0.1,18.8,1.7
168179,"Blueberries, canned, light syrup, drained",sr_legacy_food,9,2019-04-01,88.0,1.04,0.4,22.66,2.6
168180,"Blueberries, wild, canned, heavy syrup, drained",sr_legacy_food,9,2019-04-01,446.0,0.56,0.34,28.32,4.9
168181,"Peaches, canned, heavy syrup, drained",sr_legacy_food,9,2019-04-01,72.0,0.52,0.18,18.43,1.2
168182,"Pears, canned, heavy syrup, drained",sr_legacy_food,9,2019-04-01,74.0,0.24,0.18,19.08,2.7
168183,"Plums, canned, heavy syrup, drained",sr_legacy_food,9,2019-04-01,374.0,0.44,0.14,23.12,1.5
168184,"Tangerines, (mandarin oranges), canned, juice pack, drained",sr_legacy_food,9,2019-04-01,38.0,0.75,0.04,9.41,1.2
168185,"Peach nectar, canned, with added ascorbic acid",sr_legacy_food,9,2019-04-01,50.0,0.21,0.51,11.93,0.1
168186,"Pear nectar, canned, with added ascorbic acid",sr_legacy_food,9,2019-04-01,251.0,0.11,0.01,15.76,0.6
168187,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",sr_legacy_food,9,2019-04-01,53.0,0.36,0.12,12.87,0.2
168188,"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",sr_legacy_food,9,2019-04-01,695.0,0.51,0.37,41.0,
168189,"Grapefruit juice, white, bottled, unsweetened, OCEAN SPRAY",sr_legacy_food,9,2019-04-01,153.0,0.54,0.64,7.51,0.6
168190,"Jackfruit, canned, syrup pack",sr_legacy_food,9,2019-04-01,385.0,0.36,0.14,23.94,0.9
168191,"Dates, medjool",sr_legacy_food,9,2019-04-01,1160.0,1.81,0.15,74.97,6.7
168192,"Durian, raw or frozen",sr_legacy_food,9,2019-04-01,147.0,1.47,5.33,27.09,3.8
168193,"Pineapple, raw, traditional varieties",sr_legacy_food,9,2019-04-01,45.0,0.55,0.13,11.82,
168194,"Pineapple, raw, extra sweet variety",sr_legacy_food,9,2019-04-01,215.0,0.53,0.11,13.5,1.4
168195,"Clementines, raw",sr_legacy_food,9,2019-04-01,47.0,0.85,0.15,12.02,1.7
168196,"Guanabana nectar, canned",sr_legacy_food,9,2019-04-01,245.0,0.11,0.17,14.93,0.1
168197,"Juice, apple and grape blend, with added ascorbic acid",sr_legacy_food,9,2019-04-01,211.0,0.16,0.12,12.46,0.2
168198,"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",sr_legacy_food,9,2019-04-01,219.0,0.17,0.12,12.96,0.2
168199,"Plantains, green, fried",sr_legacy_food,9,2019-04-01,1293.0,1.5,11.81,49.17,3.5
168200,"Plantains, yellow, fried, Latino restaurant",sr_legacy_food,9,2019-04-01,236.0,1.42,7.51,40.77,3.2
168201,"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,9,2019-04-01,247.0,0.27,0.2,14.06,2.3
168202,"Apples, raw, golden delicious, with skin",sr_legacy_food,9,2019-04-01,57.0,0.28,0.15,13.6,2.4
168203,"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,9,2019-04-01,242.0,0.44,0.19,13.61,2.8
168204,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,9,2019-04-01,57.0,0.25,0.12,13.68,2.3
